id	filename	md5	size	state
10e813bc-63fe-4f32-a000-88527d5444b2	10e813bc-63fe-4f32-a000-88527d5444b2/e1f960fc-6efa-4492-9f44-8e645ec8bfc2.FPKM.txt.gz	c3a64d09f54caa53d6bdc455927b1655	534234	validated
1d6732d2-c627-4883-b2a3-c822a5023a06	1d6732d2-c627-4883-b2a3-c822a5023a06/a6f657a3-439e-4afd-be04-413f2ed02828.FPKM-UQ.txt.gz	b8c65f6ebe0f7641f543f944db0bfb28	543034	validated
1da554d3-d50d-4210-886a-b750b33cf4de	1da554d3-d50d-4210-886a-b750b33cf4de/93904035-e387-47e3-90f0-ea0d5f726dac.FPKM-UQ.txt.gz	42468c795fa5c6c8660ff4c6c3815267	521853	validated
2237e742-56da-4688-904e-8caaba7b1831	2237e742-56da-4688-904e-8caaba7b1831/7d9d7119-4a9e-46f6-b758-153bfcc869a5.FPKM.txt.gz	e3e13b1607cd1278d9882dce14dc9da2	531914	validated
27c15e58-e219-432c-a286-9835a9f9bdff	27c15e58-e219-432c-a286-9835a9f9bdff/00511204-3512-4a5e-b664-60271e968903.FPKM.txt.gz	c0bfea8ec04dfb64cf7d82512a8453c2	503608	validated
5c480d48-8117-48f1-b6d4-c8b420769a43	5c480d48-8117-48f1-b6d4-c8b420769a43/a154c740-f4b4-4b62-a4a8-2273f8f834b1.htseq.counts.gz	d4385c431e0d847810f0cf682aed7445	259109	validated
89e04995-ee7b-4bba-b964-2c53a389e5e1	89e04995-ee7b-4bba-b964-2c53a389e5e1/bfe796aa-7f29-49d2-a72f-79a9acf12365.htseq.counts.gz	8369f4e3062ddb2b5b5c81aa1f6349a4	246398	validated
9caffd9b-0aa8-4aac-8a0d-598267a9f293	9caffd9b-0aa8-4aac-8a0d-598267a9f293/d578e27f-537c-4aaa-8903-6ffe68346276.FPKM.txt.gz	3251fb300e73e0f5229747b815094aae	506927	validated
e011d682-e543-4f6f-95d2-e86cce259644	e011d682-e543-4f6f-95d2-e86cce259644/e29ce54a-49a1-47a8-82fd-7687cec0d1bb.FPKM.txt.gz	f0c7b4023c2365b4eb6f58556db897fa	535342	validated
e4fba51b-cab5-4714-a0b3-9aa1e3786a27	e4fba51b-cab5-4714-a0b3-9aa1e3786a27/cbf61237-f5ba-4fa0-97be-e79e8e75a887.FPKM.txt.gz	f38e398c063e4563b2dbd2e425dee5b5	523892	validated
